name,description
WorkoutHelper,"WorkoutHelper is a skill that can help you with workout recipes for your current mood.

To use the skill, enable it. Then you can ask the following:

Alexa, ask workout helper what workout is suitable when I am happy"
MeditationFacts,"Meditation Facts Skill is about knowing the facts on benefits of doing regular meditation.

These facts came through studies and research from medical doctors and professionals from New York and New Jersey, on different people who does meditation versus those who don't.

It is a great and informative facts skill about meditation and its importance related to our health and wellness."
Healthy Diet Trivia,"A fun trivia game helps teach diet and nutrition facts and information.
Answer with a number 1 through 4 to select the correct answer."
Homeopathy,"Homeopathy provides home made remedies to help relieve some of the common symptoms like cold, stomach ache. Our remedies will provide you recipe steps to prepare remedy.
DISCLAIMER: This tool does not provide medical advice, and is for informational and educational purposes only. It is not a substitute for professional medical advice, treatment or diagnosis. Contact your doctor to receive medical help. If you think you may have a medical emergency, please dial 911."
Bedtime,"Bedtime counts sleep cycles to help time when you should go to bed or wake up. Waking up in the middle of a sleep cycle makes you feel tired but waking up in between cycles will make you feel energized and ready to spring out of bed.






- ""I want to go to sleep at 8:00 pm.""




- ""I'm going to bed at 10:30 pm""




- ""I need to wake up at 7:30 am""




- ""When should I go to bed to wake up at 5:30 am?""




- ""When should I wake up if I go to sleep at 11:55 pm?"""
Vitamin Cards,"Test your knowledge of FDA recommended daily allowances of vitamins and minerals for adults based on a 2,000 a day diet.

*Note - this is just for fun, you must consult your physician before making any changes to your diet.

*This information was collected from
http://www.fda.gov/Food/GuidanceRegulation/GuidanceDocumentsRegulatoryInformation/LabelingNutrition/ucm064928.htm"
Bodybuilding Trivia,"General questions about bodybuilding. Test your knowledge in multiple choice trivia style questions. To start the game, say, ""Alexa, open body building trivia."""
7-Minute Workout,No long description available.
Peaceful Habit,"Peaceful Habit is a simple Skill that helps you meditate for 5, 10, or 20 minutes every day.

Each meditation begins and ends with three bell chimes to prepare you for the meditation and to let you know when your practice is complete. In between the chimes is peaceful silence so you can concentrate on your meditation practice."
TreycentSupplementAdvisor,"The Supplement Advisor answers questions regarding which vitamins and supplements are recommended for certain conditions.

Disclaimer: This tool does not provide medical advice, and is for informational and educational purposes only, and is not a substitute for professional medical advice, treatment or diagnosis. Call your doctor to receive medical advice. If you think you may have a medical emergency, please dial 911."
Healthy Food Facts,"You know the saying, ""An apple a day keeps the doctor away"" right? Well this app will give you more interesting and detailed facts on healthy food! This app is perfect for those who want to gain more knowledge on healthy and nutritional food facts. It provides random cool facts and benefits of certain nutritional food to keep your mind set on healthy living!

It's simple, it's fun, and its great to get one or multiple facts a day to motivate you on your journey to a healthy lifestyle. Keep your heart healthy!"
Pregnancy Countdown,"Pregnancy Countdown lets you set your due date, allowing you to ask how long until the baby arrives and find out the size of the baby whenever you would like.

Icon made by Roundicons from www.flaticon.com."
awesome hair tips,This skill has tips for how to get your best and healthiest hair possible. The user gets started by asking Alexa for awesome hair tips. There are no prerequisites or special products needed. I share a few products I particularly enjoy.
Aromatherapy,"Aromatherapy is a skill that can help you with some common diffuser recipes for use with your essential oils collection. We are continuing to add recipes so let us know at AromatherapySkill.com and we can add the recipes you love.

To use this skill, enable it. Then you can ask the following:

Ask Aromatherapy for a recipe for focus.
Ask Aromatherapy for a recipe for happy kids.
Ask Aromatherapy for a recipe for stress relief.

You can also say things like:
Ask Aromatherapy what is a recipe for peace.
Ask Aromatherapy what is the recipe for a headache.
Ask Aromatherapy what is a recipe for morning sickness.

Please visit us at www.aromatherapyskill.com and let us know what recipes you would like to see next or you can send us feedback below. You can also join our mailing list to get updates and alerts when we add new functionality."
